number,professor,review
WCOMS4701,"Pasik, Alexander","Entertaining and fun, cares about the material and seems genuinely excited to teach people.
Really, really likes Lisp and Recursion.
Doesn't use a textbook for data structures. My only complaint is that given the time (one full semester) he could have gone into a bit more detail about various, more exotic, data structures. But what he does cover, he does very well.
So I recommend him.
Workload:
6 assignments, Midterm and Final in 3137. 4 Assignments, Midterm and Final in 4701."
WCOMS4205,"Gross, Jonathan","Prof. Gross teaches 3 sequential courses - Discrete Math, Graph Theory, and Combinatorial Theory - and teaches them all in the same fashion. It helps to go to class, but since a complete lecture notes booklet is available and covers everything from the beginning to the end of the semester, you could potentially learn the material yourself. His tests are open book, but are by no means easy - they are often referred to as ""the learning experience."" Overall, he's a great teacher, and makes the courses bearable even for a math-illiterate like myself.
Workload:
No homework. Open-book tests. Lectures conducted according to a lecture-notes booklet."
WCBMF4761,"Yemini, Yechiam","He's one of the worst prof I've ever had.
His lecture is very dry and he doesn't seem
to really care much about students.
Workload:
One research project. 2 extra credit assignment"
WCBMF4761,"Leslie, Christina","Compare to other 4000 level classes such as OS and PLT, this class is an easy technical elective. Christina Leslie is a very caring teacher, even though her lectures can be boring and involve a lot of materials. She writes a lot on the board and you'll have to go to class in order to do the exams. The textbook is virtually useless. The tests are open book and based on the class notes, so, GO TO CLASS AND YOU'LL GET an A.
You'll need substantial biology background to truely enjoy this class, though biology is not needed to ace this class.
Workload:
3 Homework assignments, midterm, final and a project (it doesn't sound as much as it is)"
WCOMS4156,"Sheth, Swapneel","Feels like learning nothing but how to argue with TAs. Definitely not worth the tuition, and don't waste your money and time on it.
The grading is the most ridiculous part - no guildelines on how the answers are graded, and for some assignments even asking questions regarding the assignment description is forbidden. If you argue with TA, you'll probably be rewarded a lower score. Someone accidentally witnessed how the TA graded the assignments - it was in a pretty irresponsible manner. No surprise if you find the TA didn't actually read your assignment, and gave you a random number instead.
Swapneel is a good guy and might be a good researcher to work with, but so sad that he just didn't take the teaching job seriously.
Workload:
A group project (continues throughout the whole semester) and a few individual assignments. Most of them are reading and writing assignments."
WCOMS4156,"Sheth, Swapneel","Oh dear. I don't even know where to begin.
Consider this review as a warning to all of you misguided souls who are thinking of taking this class under Swapneel. Consider this review a strong and heavy deterrent such that you may maintain and keep your sanity and save yourself the struggle of taking a class with arguably the worst teacher I've ever encountered in my entire life.
Sure, Swapneel is a nice guy and he's approachable. I'm sure he's great in the other classes he teaches; I don't doubt the accuracy of his other reviews for a second. However, ABSOLUTELY NONE OF THAT APPLIES TO ASE. Swapneel's ideas for this class go from mind-fuck stupid to borderline insane.
Ahem. There are five distinct reasons you don't want to take this class, four of which are a direct result of Swapneel's horrible decisions:
1. This is a class about software engineering, and you will be doing a lot of busy work. You'll be doing a lot of reading. Now you MIGHT think that would make for an easy A but you would be grossly mistaken for reasons I'll get into in just a second. The material in the class is EXTREMELY boring unless you're actually into this shit. You could seriously learn everything in the class by either reading Wikipedia or holding down a programming job for a little while. The material is definitely not something to spend your tuition on because you are almost certainly going to learn it elsewhere.
2. The Midterm. The midterm wasn't exactly difficult (even though the average was in the 60's) but there was a certain stipulation to the grading that didn't make any sense. Each multiple choice question was worth 3 points; missing a question not only cost you the chance at getting those 3 points but you would lose an additional point as well. What's the point? I don't know why Swapneel thought this would be a good idea; it's nonsense like this and the teacher's inability to know unequivocal rock-fuck stupid when the rest of the class sees it that will prove to be his defining hallmark in ASE.
3. The ""Implementation"" assignment. You spend a good chunk of the class developing a piece of software using the class concepts to guide you along. There is a proprietary repository set up for the class where you can use Git to handle your code and there is also a website called Jira which allows teams to create and document project tasks. The skillful use of both of these tools as well as planning and executing software engineering strategies is crucial to your success and one would think that mastery of these tools and concepts would be critical in the grading of your project. WRONG. The majority of your project grade comes from a subjective analysis by the TAs. In order words, you could program a solid piece of software and demonstrate exemplary skill of all class concepts in getting your work done; however, if the TA's for whatever reason don't like your project, don't think it's cool enough, or you are a bad speaker and don't demonstrate it in a way that would blow their mind then it's going to hurt you. I can understand subjective analysis being a bit player when it comes to grading, but why the fuck do you make it more important than the objective analysis which is far more relevant to the intentions of the class?
4. The third assignment. The assignment was out of 40 points with additional 20 points of extra credit. The average on the assignment itself was a 17; the average on the extra credit was a 4. Yes, that's a four. Given the horrible midterm average and the average of this assignment, I don't think it's a stretch to say that the class is at fault; that's the mark of a shitty teacher. Furthermore, the TA's took points off for things that weren't even mentioned in the assignment document. For example, part of the assignment required White Box testing on a hypothetical feature of a certain project. The assignment stated that all we had to include was our ""general procedure"" for doing white box testing. The TA who graded me took off points for only writing a ""general procedure"". What gives?
5. The testing assignment. This one BY FAR is the worst offender and permanently turned me against Swapneel. This is by far the stupidest assignment I've ever done in my life, particularly because of one caveat of the grading. You see, the assignment itself was 200 points with 50 extra credit; 70 points of the 200 dealt with testing other teams' applications. Each team tested two other teams; you could get a maximum of 35 points per team. Before actually performing the testing, each team had to document as many bugs as they could in the aforementioned Jira website used in the class. Documenting a bug meant that it could not be used against you when other teams tested you; however, if a team found a bug that WASN'T documented it not only cost the tested team 2 points but the testing team would gain 2 points. In order to get the full 35 points for the assignment your team had to find 15 undocumented bugs and 10 documented bugs; 1 point per documented and 2 for each undocumented. Your team could not get more than 15 points for documented bugs and 20 for undocumented; even if your team found 40 documented bugs you could only get a maximum of 15 points by virtue of all bugs being documented. Furthermore, each team was only given 30 minutes to test each application. TO RECAP: In order to get a full score on testing a particular team, you had 30 minutes to find at least 25 bugs. Of those 25 bugs, EXACTLY 15 had to be undocumented and 10 had to be undocumented. Is it is easy to see how this is borderline impossible? Congratulations, you have more foresight than Swapneel Sheth. Furthermore, a team could get stuck with an application that had relatively little bugs thus harming their grade due to factors that are impossible to control; when the class was berating him for this possible outcome his only reply was a sheepish ""Yes, it could be unfair, but that's why you get two teams to test."". The teacher deliberately knew the assignment could be unfair but went ahead with it anyway: if that isn't a mark of poor judgement then I don't know what is. OH....and if you happened to program a perfect application with ZERO bugs then the two teams testing you would get full credit (as long as the TAs couldn't find any either). The team creating the perfect application would get jack shit for having made such a fine specimen of software. I'm not even mentioning the infighting that occurred during the testing phase; the stipulations of the assignment encouraged teams to screw each other over by ""finding"" undocumented bugs and I saw several arguments in the testing room between whether or not so-and-so was a bug. Why the fuck would the teacher think this was a good idea? Does this sound like something you want to be spending your time and tuition on?
Think about it. Save yourself. Go to SSOL and click that ""unregister"" button. You'll be glad you did.
Workload:
I don't think the workload was any better or worse than a typical CS class; just lots of writing which can be highly mind-numbing."
WCOMS4156,"Kaiser, Gail","I would not recommend this course unless a) you really want to be a software engineer and have no prior experience or b) absolutely need it to graduate. It's mostly busywork and stuff that you can learn in a decent summer internship at a software company (if you want to go into software).
That being said, Gail is a wonderful person, and is very kind and understanding. However, her lectures tend to be very dry and not very helpful, and the course materials aren't any better. The course skims over component model frameworks, software testing and various software quality assurance techniques, but doesn't really go deep enough to make things useful. Most of these topics are covered briefly in lecture, and then exercised in a group project where they become a passing thought when completing your documentation. By the end, you'll learn that you should do 'xx' and 'yy' if you're working in the software industry on a big project, but will be unsure as to what exactly qualifies as 'xx' or 'yy'.
Workload:
Take home midterm and final, three easy homeworks in the beginning of the semester, and one semester long group project. The group project is very hit or miss depending on your group (I chose poorly). Oh and five to six pop quizzes that really just check if you're sitting in lecture and still awake (it's hard sometimes...)."
WCOMS4156,"Kaiser, Gail","Professor Kaiser is interested in her material and works hard at getting it across to her students. The only thing is that she isn't the best at instructing students how to code within the complex component frameworks introduced in this course. However, teams of students have freedom to choose a project of their liking, which is definitely preferred over a forced project such as Robot Wars or some ridiculous role playing game with clients, servers, and bots. With the freedom to choose a project comes the desire to code the project. Gail follows up with the teams throughout the semester, giving feedback and ensuring that the students pick up on the material, and I've been more enthusiastic about this class than I had been with others within the CompSci department. Don't be afraid of her first class when she tries to scare you off; you'll learn a lot, you'll learn how to document the software-development process, and if you work at your project, you'll walk out of the class knowing a great deal.
Workload:
Team project with three iterations, as well as a take home midterm and take home final, both about the project's development and concepts discussed in class (and mentioned in the book)"
WCOMS4231,"Stein, Clifford","You know how you imagined it would be supercool to actually learn algorithms from the S of CLRS? Well, its better than what you imagined.
If you want to learn algorithms from scratch, or just brush up the basics and then step into the more advanced Dynamic Programming / Graph algorithms, this is the class for you. Prof. Stein is extremely approachable, and very patient with the stupidest of questions. He will not take any Math background for granted. First few lectures can be boring if you know Big-Oh but he is really wonderful at motivating most of the ""magic"" behind the algorithms. Most of the assignments are difficult and you really want to get started as soon as they are out.
Midterm was not too bad, if you had solved the assignments on your own and the final was downright easy.
Overall, an extremely enjoyable class. Highly recommended.
Workload:
Heavy: 7 assignments + 1 take home midterm + final"
WCOMS4231,"Yannakakis, Mihalis","I took the class CSOR 4231 with Prof Yanakakis. Unless you are really stupid, do NOT take this class under this Professor. Granted, he has great credentials and has won a Knuth prize or two for his research. But at the end of the day, teaching a course is not the same as doing research and not everyone can do both well.
Instead of making the class interesting and explaining the background behind how algorithms should be designed and how they came to be, he just puts the algorithm on the board and makes a poor attempt at explaining it. Watch one lecture given by Stein on CVN and you will be inspired .. and sit for one lecture with this guy, and you will forget the little you knew before the class. His homeworks concentrate more on proving correctness than on designing algorithms and mapping problems to standard algorithms. It is a pity that a researcher of his caliber, does not have the ability or the inclination to make this class interesting. Believe me, you would be better off watching lectures on MIT OCW or stein's on CVN. You have been warned.
Workload:
The workload is high and you would have to devote about 10-15 hours a week for this course. There are 6 homeworks, a mid-term and a final."
WCOMS4231,"Stein, Clifford","Prof Stein is a good prof w.r.t.knowledge but his academic policy is not foolproof or rather I can say has a lot of loopholes in it . On one hand he does not prefer people referring to the sources on the internet whereas on the other hand his TAs give full credit to those who discuss the sums . So copying verbatim under the name of discussion is prevalent but if someone wants to access wikipedia or any other internet source then it is not allowed . Also the policy of picking up individuals for violating the academic policy seems to be random as many copy cats do escape . Also both the professors of algorithms do not show the same honesty while following this highly controversial and confusing academic honesty policy
Workload:
heavy with 7 assignments , midterm , final"
WCOMS4231,"Monteleoni, Claire","I guess professor does not have experience in teaching. She is not able to properly deliver the lecture, she herself is confused most of the time. Its a wastage of time attending her lecture.
Its better to study by yourself from book as her lectures does not contain anything new.
When you ask her some doubt, you will find that doubt is still doubt.
Moreover, she is very harsh to the students, in short not at all student friendly. She even does not listen to the student's problems. Her grading is also very strict. I will suggest not to take this course under her.
."
WCOMS4231,"Stein, Clifford","I think Professor Stein teaches well. He understands the subject thoroughly as can be seen in his explanations. I haven't seen even one instance of a question he couldn't answer convincingly. He is helpful in office hours and will walk you through a problem if necessary.
The class is in the morning (9 am ) and it's possible you will sleep through some classes. But every class is worth going to (take coffee !) . I find Stein's explanations in class easier to understand that the book. Many a times I have gone back to my notes because the book seemed to complicate thing a trifle.
Workload:
The load is fair, bordering on too much (7 homeworks, all lengthy). The (take home) midterm was a breeze if you attended class."
WCOMS4231,"Stein, Clifford","I think he's a good teacher who can explain things well, but attendance does drop at the end, as people see that a significant part of the course revisits Data Structures. I wanted to add that in Algorithms, he does not care whether the homework is handed in at the beginning or end of class (as opposed to his other class), and that undergrads are curved separately from the grads (the class is 80% graduate students).
Workload:
7 Homeworks, take home midterm, final"
WCOMS4701,"Creamer, German","AI with Creamer is completely useless. I will admit that he tries very hard to teach the material and he is a genuinely nice person, but that will not dismiss the poor teaching and unfortunate organization of the course. The homework assignments are theory based out of the textbook, which is supposed to be the bible of artificial intelligence. That part is fine - besides for the part that the HW is pretty useless also.
The redeeming quality of this course was the final project - this is a matter of how much work you want to put into it: time in = amount learned. The examinations are also fairly worthless.
I am sure that this course is easier than Pasik's course. If you have any desire to learn anything, suck it up and take it with someone who is worthwhile.
Workload:
Depends on how much you want to learn. Not much work at all - easy to get a B, besides for project. Even easy to get A."
WCOMS4701,"Pasik, Alexander","This was probably the most fascinating course, which is saying a lot given that Pasik is the professor. Learned a lot but only because this is material that I hadn't been exposed to in other classes and I could have learned 3 times as much had Pasik not ended class half an hour early (on average) every class and skipped 8 classes for review sessions/midterms. Additionally, it should not have been required to learn LISP which wasted an additional 2 weeks at the beginning where we didn't learn any AI. He also cancelled a class at the end because he didn't have anything else to teach us. Overall, if you consider that he only used about 2/3 of the allotted class time, we had about 10 lectures on AI for the whole semester. How do courses at CMU, Stanford, MIT and Cornell manage to do fill a whole semester?
As stated in other reviews, all of his lectures are taken totally out of the book, except the knowledge representation lectures. In these lectures, rather than covering the interesting material on epistemic logic that the book had, he spent the entire time on algorithms for expert systems which haven't really been used since the 90s.
He also arbitrarily set his curve to a B-/C+ which would be fine except no other professor in the department does that.
Basically Artificial Intelligence is an extremely interesting field and the fact that I am still interested in it despite Pasik is a testament to the material. However, if you can avoid Pasik, do so.
Workload:
The three assignments we had for the course were all Lisp programming and took forever since we barely learned Lisp in the two weeks we covered it. I kept feeling like I knew what I wanted my program to do but I didn't know how to make Lisp do what I wanted. It would have been a much better test of whether we were learning AI if he had had us program the algorithms in a language we knew. These assignments also didn't cover any theory, which was really the important part of the course.
4 pretty easy quizzes (except the Lisp one which assumed that you already knew a recursive algorithm for the towers of Hanoi problem) and easy final."
