GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
vplus,com.vplus.controller,MasterController,5,431,6,56,2,89,8,35,2,10
vplus,com.vplus.models,ReviewModel,59,0,0,0,17,0,12,0,12,0
vplus,com.vplus.models,CourseModel,142,63,4,0,29,29,13,17,11,17
vplus,com.vplus.models,TrackModel,45,0,0,0,11,0,8,0,8,0
vplus,com.vplus.dao,CourseDAO,74,282,3,13,10,73,3,9,0,4
vplus,com.vplus.dao,ReviewDAO,289,78,17,5,62,27,11,5,2,3
vplus,com.vplus.dao,TrackDAO,92,7,4,0,26,3,3,2,1,2
vplus,com.vplus,Application,379,95,33,7,79,17,25,7,8,4
vplus,com.vplus.service,ReviewService.new Comparator() {...},0,29,0,4,0,6,0,4,0,2
vplus,com.vplus.service,ReviewService,7,47,0,2,2,10,2,4,2,3
vplus,com.vplus.service,TrackService,7,7,0,0,2,3,2,2,2,2
vplus,com.vplus.service,CourseService,46,48,7,5,9,10,6,7,2,5
